"","Value","Average","Timeseries"
"90",188,136,"2006-06-01"
"91",228,156,"2006-07-01"
"92",205,98,"2006-08-01"
"93",151,33,"2006-09-01"
"94",108,32,"2006-10-01"
"95",82,141,"2006-11-01"
"96",48,181,"2006-12-01"
"97",11,95,"2007-01-01"
"98",18,31,"2007-02-01"
"99",92,197,"2007-03-01"
"100",100,15,"2007-04-01"
"101",148,130,"2007-05-01"
"102",182,102,"2007-06-01"
"103",218,90,"2007-07-01"
"104",216,147,"2007-08-01"
"105",165,108,"2007-09-01"
"106",129,149,"2007-10-01"
"107",81,138,"2007-11-01"
"108",28,64,"2007-12-01"
"109",5,50,"2008-01-01"
"110",35,82,"2008-02-01"
"111",67,59,"2008-03-01"
"112",97,18,"2008-04-01"
"113",135,24,"2008-05-01"
"114",180,92,"2008-06-01"
"115",212,62,"2008-07-01"
"116",196,52,"2008-08-01"
"117",155,58,"2008-09-01"
"118",118,5,"2008-10-01"
"119",79,134,"2008-11-01"
"120",13,22,"2008-12-01"
"121",9,85,"2009-01-01"
"122",49,163,"2009-02-01"
"123",74,101,"2009-03-01"
"124",101,5,"2009-04-01"
"125",145,105,"2009-05-01"
"126",175,47,"2009-06-01"
"127",197,26,"2009-07-01"
"128",193,8,"2009-08-01"
"129",164,106,"2009-09-01"
"130",99,43,"2009-10-01"
"131",87,184,"2009-11-01"
"132",3,42,"2009-12-01"
"133",8,65,"2010-01-01"
"134",12,39,"2010-02-01"
"135",77,126,"2010-03-01"
"136",112,132,"2010-04-01"
"137",137,11,"2010-05-01"
"138",186,121,"2010-06-01"
"139",219,91,"2010-07-01"
"140",211,120,"2010-08-01"
"141",166,111,"2010-09-01"
"142",127,122,"2010-10-01"
"143",69,67,"2010-11-01"
"144",19,8,"2010-12-01"
"145",4,13,"2011-01-01"
"146",26,21,"2011-02-01"
"147",75,108,"2011-03-01"
"148",106,84,"2011-04-01"
"149",133,29,"2011-05-01"
"150",181,99,"2011-06-01"
"151",227,146,"2011-07-01"
"152",220,160,"2011-08-01"
"153",160,95,"2011-09-01"
"154",122,87,"2011-10-01"
"155",78,125,"2011-11-01"
"156",41,154,"2011-12-01"
"157",46,196,"2012-01-01"
"158",51,180,"2012-02-01"
"159",98,202,"2012-03-01"
"160",120,177,"2012-04-01"
"161",152,169,"2012-05-01"
"162",187,124,"2012-06-01"
"163",229,167,"2012-07-01"
"164",208,113,"2012-08-01"
"165",163,105,"2012-09-01"
"166",117,9,"2012-10-01"
"167",81,138,"2012-11-01"
"168",44,168,"2012-12-01"
"169",17,130,"2013-01-01"
"170",36,86,"2013-02-01"
"171",63,16,"2013-03-01"
"172",96,30,"2013-04-01"
"173",142,69,"2013-05-01"
"174",185,119,"2013-06-01"
"175",213,66,"2013-07-01"
"176",202,83,"2013-08-01"
"177",168,129,"2013-09-01"
"178",113,19,"2013-10-01"
"179",66,3,"2013-11-01"
"180",10,34,"2013-12-01"
"181",7,61,"2014-01-01"
"182",14,36,"2014-02-01"
"183",62,27,"2014-03-01"
"184",103,68,"2014-04-01"
"185",144,89,"2014-05-01"
"186",179,90,"2014-06-01"
"187",204,11,"2014-07-01"
"188",195,50,"2014-08-01"
"189",161,100,"2014-09-01"
"190",130,157,"2014-10-01"
"191",56,41,"2014-11-01"
"192",50,183,"2014-12-01"
"193",27,164,"2015-01-01"
"194",25,23,"2015-02-01"
"195",86,181,"2015-03-01"
"196",112,132,"2015-04-01"
"197",141,68,"2015-05-01"
"198",190,159,"2015-06-01"
"199",210,57,"2015-07-01"
"200",201,80,"2015-08-01"
"201",175,179,"2015-09-01"
"202",131,166,"2015-10-01"
"203",83,161,"2015-11-01"
"204",54,195,"2015-12-01"
"205",16,129,"2016-01-01"
"206",57,190,"2016-02-01"
"207",91,196,"2016-03-01"
"208",111,131,"2016-04-01"
"209",139,49,"2016-05-01"
"210",192,170,"2016-06-01"
"211",221,110,"2016-07-01"
"212",207,104,"2016-08-01"
"213",169,136,"2016-09-01"
"214",132,176,"2016-10-01"
"215",93,198,"2016-11-01"
"216",24,55,"2016-12-01"
"217",30,175,"2017-01-01"
"218",64,200,"2017-02-01"
"219",89,188,"2017-03-01"
"220",116,155,"2017-04-01"
"221",140,60,"2017-05-01"
"222",184,118,"2017-06-01"
"223",225,128,"2017-07-01"
"224",194,4,"2017-08-01"
"225",162,103,"2017-09-01"
"226",126,109,"2017-10-01"
"227",85,172,"2017-11-01"
"228",33,110,"2017-12-01"
"229",15,123,"2018-01-01"
"230",42,112,"2018-02-01"
"231",72,95,"2018-03-01"
"232",95,39,"2018-04-01"
"233",156,189,"2018-05-01"
"234",191,165,"2018-06-01"
"235",223,116,"2018-07-01"
"236",206,103,"2018-08-01"
"237",171,152,"2018-09-01"
"238",115,12,"2018-10-01"
"239",61,35,"2018-11-01"
"240",43,158,"2018-12-01"
"241",20,143,"2019-01-01"
